id,date,year,lon,lat,group,taxon,scientific,observer,quality,photo,obscured,accuracy_m
263257435,2002-11-30,2002,102.7238949761,0.3313673069,Birds,taxon-604225,Pycnonotus plumosus,andriano_h,research,TRUE,FALSE,18
263335014,2002-11-30,2002,102.7232881263,0.3322500741,Birds,taxon-14623,Pycnonotus goiavier,andriano_h,research,TRUE,FALSE,9
263335153,2002-11-30,2002,102.7229317278,0.332163239,Birds,taxon-15346,Orthotomus ruficeps,andriano_h,research,TRUE,FALSE,9
263337569,2002-11-30,2002,102.7228100225,0.3318883172,Birds,taxon-145118,Chalcoparia singalensis,andriano_h,research,TRUE,FALSE,7
263338312,2002-11-30,2002,102.722834833,0.3320767393,Birds,taxon-3358,Treron curvirostra,andriano_h,research,TRUE,FALSE,5
295591798,2002-11-30,2002,102.697455436,0.4118700988,Birds,taxon-2212,Merops philippinus,andriano_h,research,TRUE,FALSE,20592
309758916,2002-11-30,2002,102.723836638,0.3312466095,Birds,taxon-2293,Eurystomus orientalis,andriano_h,research,TRUE,FALSE,7
178792184,2006-01-27,2006,102.0396038462,0.554586516,Plants,taxon-142176,Bromheadia finlaysoniana,iqbal_muhammad,needs_id,TRUE,FALSE,500
178792494,2006-01-27,2006,102.0412750252,0.553295269,Insects,taxon-1468177,Odontolabis striata,iqbal_muhammad,research,TRUE,FALSE,500
169748396,2006-02-09,2006,102.2977421689,0.4934508,Plants,taxon-829437,Dipodium conduplicatum,iqbal_muhammad,research,TRUE,FALSE,122
357838758,2006-02-16,2006,101.8487135217,0.4068084289,Insects,taxon-334415,Chalcosoma atlas keyboh,colinmarshall,research,TRUE,FALSE,1953
169754151,2008-01-31,2008,102.3252713828,0.5047471992,Reptiles,taxon-39889,Cyclemys dentata,iqbal_muhammad,research,TRUE,TRUE,31451
322172143,2008-01-31,2008,102.1730720877,0.5099096392,Plants,taxon-122526,Freycinetia,iqbal_muhammad,needs_id,TRUE,FALSE,977
240756114,2008-06-22,2008,102.1864662331,0.5807394927,Plants,taxon-183253,Aeschynanthus,iqbal_muhammad,needs_id,TRUE,FALSE,500
176236551,2008-06-27,2008,102.2725214037,0.5814883544,Plants,taxon-427978,Austrobuxus nitidus,iqbal_muhammad,needs_id,TRUE,FALSE,200
217850485,2008-06-27,2008,102.1820819052,0.5724345729,Plants,taxon-1069475,Ridsdalea,iqbal_muhammad,needs_id,TRUE,FALSE,100
249301979,2008-07-10,2008,102.1769816955,0.5793369668,Plants,taxon-133552,Pavetta,iqbal_muhammad,needs_id,TRUE,FALSE,1000
322170430,2008-07-10,2008,102.1734751876,0.5078282575,Plants,taxon-183431,Euthemis,iqbal_muhammad,needs_id,TRUE,FALSE,488
169748008,2008-07-11,2008,102.3522025278,0.5836828944,Plants,taxon-1357046,Disepalum rawagambut,iqbal_muhammad,needs_id,TRUE,TRUE,31451
331060246,2008-07-11,2008,102.1808475541,0.5392630094,Plants,taxon-1611328,Rubroshorea macrantha,iqbal_muhammad,needs_id,TRUE,TRUE,31451
183502834,2008-07-19,2008,102.1812549703,0.5864462044,Plants,taxon-1399683,Parartocarpus venenosus,iqbal_muhammad,needs_id,TRUE,FALSE,500
240539126,2008-07-31,2008,102.2681226679,0.5873478533,Amphibians,taxon-26573,Polypedates colletti,iqbal_muhammad,research,TRUE,FALSE,500
170240222,2008-08-06,2008,102.264655608,0.592769293,Arachnids,taxon-491889,Trombidioidea,iqbal_muhammad,needs_id,TRUE,FALSE,500
173553319,2008-08-06,2008,102.1885559966,0.5794778976,Insects,taxon-703333,Amulius,iqbal_muhammad,needs_id,TRUE,FALSE,244
322177752,2008-08-06,2008,102.1810405691,0.5098171396,Plants,taxon-129527,Hoya,iqbal_muhammad,needs_id,TRUE,FALSE,1953
188634233,2008-09-18,2008,102.2657680562,0.5915021229,Plants,taxon-428061,Bulbophyllum patens,iqbal_muhammad,research,TRUE,FALSE,500
173929632,2009-01-27,2009,102.3541259764,0.4906022191,Fish,taxon-618921,Sphaerichthys osphromenoides,iqbal_muhammad,research,TRUE,FALSE,500
173560051,2010-03-05,2010,101.881289567,0.4261314192,Mammals,taxon-854000,Paradoxurus musanga,iqbal_muhammad,research,TRUE,FALSE,30
185108378,2010-05-20,2010,102.2149962002,0.4766554858,Mammals,taxon-130799,Panthera tigris sondaica,iqbal_muhammad,research,TRUE,TRUE,31451
176056461,2010-06-22,2010,102.3325310792,0.4149332056,Plants,taxon-444671,Vatica teysmanniana,iqbal_muhammad,needs_id,TRUE,TRUE,31451
183873508,2010-06-29,2010,102.0031675131,0.4827172964,Mammals,taxon-43356,Tapirus indicus,iqbal_muhammad,needs_id,TRUE,TRUE,31451
178820162,2010-07-15,2010,102.1639236555,0.510591753,Amphibians,taxon-26573,Polypedates colletti,iqbal_muhammad,research,TRUE,FALSE,244
301424115,2010-10-28,2010,102.5351641168,0.2167804596,Plants,taxon-427230,Myristica lowiana,iqbal_muhammad,needs_id,TRUE,TRUE,31451
301421774,2010-11-19,2010,102.472204229,0.2800420795,Plants,taxon-924317,Durio carinatus,iqbal_muhammad,needs_id,TRUE,TRUE,31451
173943206,2011-12-21,2011,101.9946124549,0.4597821992,Reptiles,taxon-26179,Acrochordus javanicus,iqbal_muhammad,research,TRUE,FALSE,244
